+------+--------------------------+--------------------------+----------+
| Game |         Player 1         |         Player 2         |  Winner  |
| 247  |  [[TC, TD], KH, 7C, 6S]  |   [AH, JC, 7D, 5C, 3S]   | Player 1 |
| 248  | [[TC, TH], [4C, 4H], 3H] |  [[6S, 6D], QH, 9C, 7H]  | Player 1 |
| 249  |   [JS, 8C, 7D, 5H, 4S]   |   [KC, QH, 8S, 4D, 3D]   | Player 2 |
| 250  |  [[3H, 3S], AD, 7H, 6S]  |   [QC, JS, 8S, 7S, 4S]   | Player 1 |
| 251  |   [KH, JD, TH, 6H, 3S]   |  [[QS, QD], 9C, 6C, 2D]  | Player 2 |
| 252  |  [[4S, 4D], KC, QH, 5H]  |   [TH, 8D, 7D, 6D, 5S]   | Player 1 |
| 253  |   [AD, KD, TD, 7H, 6S]   |  [[KH, KC], JC, 9H, 5S]  | Player 2 |
| 254  |   [AS, QC, TS, 4S, 3H]   |  [[KS, KC], QD, 9C, 7S]  | Player 2 |
| 255  | [[TS, TH], [6S, 6C], QC] |  [[5C, 5D], KD, TC, 9D]  | Player 1 |
| 256  |  [[4H, 4C], KD, JS, 3S]  |  [[9S, 9D], QD, JC, 6D]  | Player 2 |
| 257  |  [[JS, JH], 8S, 6D, 4H]  | [[6H, 6S, 6C], [KS, KH]] | Player 2 |
| 258  |   [AC, TC, 9S, 7D, 5D]   |  [[6S, 6H], AS, KH, QD]  | Player 2 |
| 259  |   [AS, QH, 8D, 7H, 6D]   |  [[5C, 5H], KH, TH, 2S]  | Player 2 |
| 260  |   [QC, TC, 7C, 4C, 3D]   |   [KH, JS, 8C, 4S, 2D]   | Player 2 |
| 261  |  [[5D, 5H], 9C, 7S, 6H]  |   [JH, TH, 9H, 8S, 7H]   | Player 2 |
| 262  |   [AS, KH, QD, JS, 2S]   |  [[8H, 8D, 8S], AC, 4S]  | Player 2 |
| 263  |   [KD, TD, 8C, 4C, 3H]   |  [[JC, JD], QS, 5C, 2D]  | Player 2 |
| 264  |   [TS, 7D, 6C, 5D, 2C]   |   [AH, KS, QS, 3C, 2H]   | Player 2 |
| 265  |  [[7C, 7D], JH, 9C, 4S]  |   [QD, 9D, 8H, 6C, 5C]   | Player 1 |
| 266  |   [TD, 9C, 7S, 6D, 2S]   |  [[QS, QH], KH, 9S, 5C]  | Player 2 |
| 267  |  [[JC, JH], QH, 9C, 6S]  |   [KH, JS, 8D, 7S, 2H]   | Player 1 |
| 268  |   [KC, TH, 8D, 5H, 4D]   |  [[3S, 3D], QS, 6S, 4S]  | Player 2 |
| 269  |   [JD, TD, 7C, 4C, 2D]   |   [AH, JC, TH, 7S, 6D]   | Player 2 |
| 270  |   [QS, TH, 9D, 7S, 4C]   |   [AD, TS, 6H, 4D, 3H]   | Player 2 |
| 271  |  [[3H, 3D], JD, 7D, 2D]  |   [AS, QC, 9C, 8S, 2S]   | Player 1 |
| 272  |  [[9H, 9C], 7S, 4H, 2C]  |  [[5C, 5D], KD, JH, 6H]  | Player 1 |
| 273  |   [JC, TC, 9H, 8H, 3C]   |  [[KS, KC], AD, 9S, 8D]  | Player 2 |
| 274  |  [[QS, QH], JD, TS, 5H]  |   [AH, KH, QC, 8D, 5D]   | Player 1 |
| 275  |   [AS, 8S, 6S, 5D, 4C]   |  [[QC, QD], AH, TH, 7H]  | Player 2 |
| 276  |  [[4H, 4S], 7D, 6S, 3H]  |  [[9H, 9D], AS, JS, 8H]  | Player 2 |
| 277  |   [JD, 9D, 8C, 7D, 2C]   |  [[5H, 5S], KD, JC, 9S]  | Player 2 |
| 278  |   [AH, KD, QD, 9C, 4S]   |  [[AD, AC], TD, 9D, 7C]  | Player 2 |
| 279  |  [[4H, 4S], 9C, 8D, 6S]  |   [KS, JH, TC, 9D, 7C]   | Player 1 |
| 280  |  [[5S, 5H], QH, JC, 4S]  |  [[2C, 2S], AC, JS, 9S]  | Player 1 |
| 281  |  [[AS, AD], QD, 8C, 5H]  |   [QC, TD, 8S, 7D, 5C]   | Player 1 |
| 282  |   [KH, JC, 8D, 5C, 4C]   |  [[2H, 2C], QS, 6H, 4D]  | Player 2 |
| 283  |   [KC, TH, 4S, 3H, 2D]   |  [[AC, AD], QD, 9D, 7H]  | Player 2 |
| 284  |   [AS, KH, QD, TH, 8H]   |  [[8D, 8C], KC, QH, 7S]  | Player 2 |
| 285  |   [KH, JC, 8C, 7D, 6C]   |  [[2H, 2D], AD, QS, 6S]  | Player 2 |
| 286  |  [[JC, JS], KH, 7D, 2D]  |  [[5H, 5D], AD, QC, 4C]  | Player 1 |
| 287  |  [[TS, TD], AD, 4S, 3S]  |   [JH, TH, 9H, 6S, 2D]   | Player 1 |
| 288  |  [[2D, 2C], QS, 9H, 4S]  |  [[AS, AC], KH, 9D, 3D]  | Player 2 |
| 289  |  [[KH, KD], 8H, 6S, 4S]  |  [[QD, QC], TS, 9D, 7D]  | Player 1 |
| 290  |  [[AH, AS], KS, JH, 5H]  |   [AD, KH, QC, JC, 5S]   | Player 1 |
| 291  |  [[KS, KD], 7D, 6D, 5D]  |  [[3D, 3S], JD, 7C, 4D]  | Player 1 |
| 292  |   [AC, JS, 9C, 8D, 5H]   |  [[4H, 4D], TS, 3H, 2C]  | Player 2 |
| 293  |  [[KS, KH], 9D, 7C, 6H]  |  [[2S, 2H], 8S, 6S, 3D]  | Player 1 |
| 294  |   [AC, JS, 7S, 6H, 3S]   |  [[TD, TH], 8H, 4H, 3H]  | Player 2 |
| 295  |   [KC, QC, TC, 9H, 5C]   |   [AC, KS, 8S, 6H, 4H]   | Player 2 |
| 296  |   [QH, JC, TC, 7D, 4S]   |  [[6D, 6C], AC, KH, TS]  | Player 2 |
| 297  | [[QH, QS], [7D, 7C], JH] |   [KS, QD, TH, 5D, 3H]   | Player 1 |
| 298  |   [JS, 8D, 5S, 4C, 3D]   |   [KS, 9C, 7H, 4H, 2C]   | Player 2 |
| 299  |   [TD, 8S, 5H, 4H, 2C]   | [[QD, QC], [3S, 3H], KC] | Player 2 |
| 300  |   [AD, KD, QC, JS, 9C]   |  [[7D, 7H], TS, 9D, 5S]  | Player 2 |
| 301  |  [[7C, 7S], KH, JC, 8C]  |  [[TS, TH], QD, 6C, 2C]  | Player 2 |
| 302  |   [TH, 9D, 7S, 5S, 3C]   |   [QH, 9C, 8S, 5H, 2H]   | Player 2 |
| 303  |   [JS, 9H, 6H, 5D, 2S]   |   [KH, 7C, 5S, 3H, 2H]   | Player 2 |
| 304  |  [[5D, 5S], JD, TC, 2C]  |  [[6S, 6C], 8S, 3C, 2S]  | Player 2 |
| 305  |  [[4D, 4H], KH, 8H, 2D]  |   [KS, 9H, 5C, 3H, 2S]   | Player 1 |
| 306  |   [TD, 8S, 7H, 3S, 2D]   |   [KC, JD, 9C, 8D, 6H]   | Player 2 |
| 307  |   [QD, JH, 9H, 7C, 6S]   | [[TH, TD], [8S, 8H], 5H] | Player 2 |
| 308  | [[TD, TS], [7S, 7D], QS] |   [KD, JC, 7C, 3C, 2C]   | Player 1 |
| 309  |   [JD, 8S, 4H, 3C, 2D]   |  [[AS, AC], TD, 4D, 2S]  | Player 2 |
| 310  |  [[4C, 4S], AH, KS, 6C]  |   [AS, 9H, 8C, 7D, 6H]   | Player 1 |
| 311  |   [QS, 9S, 5S, 3C, 2C]   |  [[4D, 4S], AC, KD, 5D]  | Player 2 |
| 312  |  [[2D, 2C], KH, JS, TS]  |   [AS, KC, QH, 8C, 5D]   | Player 1 |
| 313  |   [KD, TH, 8S, 6C, 3H]   |   [AC, KH, 9S, 7S, 6H]   | Player 2 |
| 314  |  [[6H, 6C], AH, QS, 7S]  | [[5D, 5H], [2S, 2H], 4H] | Player 2 |
| 315  |  [[2C, 2S], QD, JC, 5H]  |   [AS, QC, JD, 7D, 6S]   | Player 1 |
| 316  |   [AS, KD, TC, 8H, 6C]   |  [[9D, 9S], JH, 7D, 2C]  | Player 2 |
| 317  |   [AH, 8S, 6C, 4C, 2H]   |  [[TD, TH, TS], 7C, 3H]  | Player 2 |
| 318  |   [KD, QH, TS, 6C, 4S]   |  [[9D, 9C], AH, 8D, 7D]  | Player 2 |
| 319  |  [[QD, QC], JS, 6D, 5C]  |   [KD, 9C, 8C, 5D, 2H]   | Player 1 |
| 320  |   [AD, QH, JH, 6S, 3C]   |  [[6D, 6H], AH, KC, 8S]  | Player 2 |
| 321  |  [[7C, 7S], 5S, 4C, 3D]  |  [[3S, 3C], JC, 6S, 5H]  | Player 1 |
| 322  |  [[3C, 3S], QH, 7C, 5H]  |   [KD, TS, 9C, 8C, 4C]   | Player 1 |
| 323  |  [[7S, 7H], QD, 5H, 3S]  |   [KD, QH, JC, 8C, 7C]   | Player 1 |
| 324  |  [[KD, KH], 4C, 3C, 2S]  |   [AC, TS, 7C, 6S, 2C]   | Player 1 |
| 325  |   [KH, 6H, 4C, 3C, 2C]   |  [[5H, 5S], QD, 7S, 4D]  | Player 2 |
| 326  |   [QD, TS, 8S, 7C, 4D]   |  [[KS, KD], 9D, 6H, 3C]  | Player 2 |
| 327  |  [[4D, 4C], QS, TS, 7S]  |   [QD, TC, 9S, 8D, 3H]   | Player 1 |
| 328  |   [AC, QH, TS, 6S, 3C]   |  [[9H, 9D], QS, 8S, 6H]  | Player 2 |
| 329  |   [JS, 7S, 5D, 4S, 3S]   |  [[6C, 6S], QH, TH, 2D]  | Player 2 |
| 330  |  [[4C, 4H], AS, JS, 5D]  |   [AC, TS, 9C, 8S, 3D]   | Player 1 |
| 331  |   [9C, 7C, 6S, 5C, 3S]   |  [[AD, AS], QS, 6H, 3C]  | Player 2 |
| 332  |   [9S, 8C, 7H, 6S, 3H]   |   [AS, KH, JD, 9H, 7C]   | Player 2 |
| 333  |  [[3D, 3H], 7S, 6C, 4D]  |   [AC, TH, 9C, 7C, 2H]   | Player 1 |
| 334  |   [AC, TC, 5S, 4H, 3H]   |  [[9C, 9H, 9S], TH, 8D]  | Player 2 |
| 335  |   [9H, 8D, 6C, 5H, 4D]   |   [QD, 6S, 5D, 3S, 2H]   | Player 2 |
| 336  |  [[4C, 4D], QS, JD, 5C]  |   [AC, QH, TH, 8C, 3H]   | Player 1 |
| 337  |   [AD, QC, 7H, 5S, 3C]   |  [[4C, 4H], KS, JD, 6D]  | Player 2 |
| 338  |   [AH, KS, QS, 9H, 3H]   | [[JS, JH], [2S, 2H], 5H] | Player 2 |
| 339  |  [[TH, TS], 6S, 5S, 2H]  |  [[3S, 3C], KS, JS, 5H]  | Player 1 |
| 340  |   [KC, 9S, 7H, 3D, 2D]   |  [[JH, JS], TD, 7D, 6D]  | Player 2 |
| 341  |  [[8H, 8C], AC, JS, 2C]  |  [[JH, JC], TH, 7S, 2D]  | Player 2 |
| 342  |   [9S, 8H, 5D, 3D, 2H]   |   [AH, KD, JC, TC, 9C]   | Player 2 |
| 343  |   [QD, JC, 9D, 6D, 2H]   |  [[TS, TH], KH, QH, 9S]  | Player 2 |
| 344  |   [JD, 8D, 5H, 4S, 2C]   |  [[TH, TC], KC, 9C, 3H]  | Player 2 |
| 345  |   [AS, 9H, 7D, 4D, 3D]   |   [KH, TH, 7S, 3H, 2H]   | Player 1 |
| 346  |   [KS, JS, 7S, 4H, 2S]   |  [[8S, 8D], QD, TS, 2H]  | Player 2 |
| 347  |   [KS, JH, 8H, 6H, 5S]   |   [AC, QC, 6S, 3S, 2S]   | Player 2 |
| 348  |  [[AS, AD], QS, JC, 8H]  |  [[4C, 4D], KH, QD, 6C]  | Player 1 |
| 349  |  [[TS, TD], 9S, 3D, 2S]  |   [KS, QS, 8D, 6S, 5C]   | Player 1 |
| 350  |   [KC, QC, 6D, 4S, 3C]   |   [AD, KH, QD, JH, TH]   | Player 2 |
| 351  |   [AH, KS, 9H, 4D, 2S]   |  [[JH, JC], QS, 8D, 7C]  | Player 2 |
| 352  |   [TH, 8H, 6C, 3C, 2D]   |  [[QD, QH], KS, 3S, 2S]  | Player 2 |
| 353  |   [TS, 9S, 6H, 5D, 4C]   |  [[JS, JD], QD, TD, 9D]  | Player 2 |
| 354  | [[KH, KS], [8H, 8S], 5H] |   [AD, KD, TD, 7C, 4S]   | Player 1 |
| 355  |   [AS, JC, 7C, 5S, 2C]   |   [9C, 8S, 7D, 6C, 5H]   | Player 2 |
| 356  |   [KH, QD, TS, 9S, 6S]   |  [[QS, QH], KC, 5S, 3C]  | Player 2 |
| 357  |  [[3H, 3C], KD, 7D, 5C]  |  [[JH, JD], AS, 7H, 6H]  | Player 2 |
| 358  |  [[9D, 9H], KC, 8H, 5C]  |  [[4S, 4D], AD, KS, 2S]  | Player 1 |
| 359  |   [QD, JD, 8D, 3S, 2S]   |  [[5S, 5H], TS, 7C, 6S]  | Player 2 |
| 360  |   [KC, TD, 9S, 6D, 3S]   |   [QD, JD, 8D, 6H, 5C]   | Player 1 |
| 361  |   [KD, TS, 9D, 8D, 5H]   |   [QC, TD, 7D, 6H, 4C]   | Player 1 |
| 362  |   [AH, JD, 9D, 6D, 4S]   |  [[9S, 9H], AS, QD, TD]  | Player 2 |
| 363  |  [[2D, 2H], 9C, 6H, 5S]  |  [[TD, TC], QC, 9S, 7D]  | Player 2 |
| 364  |  [[2H, 2C], KS, TS, 3S]  |  [[9C, 9D], JS, 8S, 7D]  | Player 2 |
| 365  |  [[6D, 6C], KC, 5D, 3C]  |   [AS, QS, 8S, 7S, 6H]   | Player 1 |
| 366  |   [JH, 9S, 8D, 4C, 2H]   |   [AD, KH, TH, 9H, 8H]   | Player 2 |
| 367  |   [AS, QC, JS, 5C, 2S]   |   [KD, 7H, 6H, 3H, 2C]   | Player 1 |
| 368  |  [[8H, 8D], QD, 3S, 2S]  |   [AH, TC, 6D, 5C, 2C]   | Player 1 |
| 369  |  [[JD, JS], TS, 8S, 3H]  |   [KC, JC, TD, 6H, 5D]   | Player 1 |
| 370  |   [QS, TC, 6S, 5D, 3H]   |  [[7C, 7D], AH, JC, 4H]  | Player 2 |
| 371  |   [9C, 8H, 7C, 5D, 2H]   |   [KH, JH, 9H, 5S, 2C]   | Player 2 |
| 372  |   [TH, 9C, 7H, 6S, 3S]   |  [[QC, QD], AC, JD, 4C]  | Player 2 |
| 373  |   [KC, 9S, 7D, 5D, 2H]   |   [AS, KH, QS, 3S, 2D]   | Player 2 |
| 374  |  [[2S, 2H], 7D, 5C, 4S]  |  [[TD, TH], QH, 9S, 4D]  | Player 2 |
| 375  |  [[6D, 6H], TS, 4H, 3S]  |   [KS, 9D, 8H, 5S, 2D]   | Player 1 |
| 376  |   [KS, 9H, 5C, 4H, 3S]   |  [[6H, 6S], KH, JS, 5D]  | Player 2 |
| 377  |   [AS, KC, JC, 8C, 4C]   |  [[QC, QD], AH, KH, TH]  | Player 2 |
| 378  |   [KH, 9S, 6S, 5H, 2C]   |   [JC, TC, 7H, 4D, 3C]   | Player 1 |
| 379  |   [JD, 8D, 6S, 5S, 4S]   | [[7H, 7S], [4D, 4C], 2H] | Player 2 |
| 380  |  [[9H, 9C], KH, 7H, 5D]  | [[TS, TC], [7C, 7S], 5H] | Player 2 |
| 381  |  [[4C, 4S], QC, TS, 8D]  |   [AD, JS, 9H, 7C, 3D]   | Player 1 |
| 382  |  [[5C, 5D], QS, 8C, 3H]  |   [AH, KC, JS, 9D, 4S]   | Player 1 |
| 383  |  [[TS, TH], QS, JD, 8S]  |  [[JH, JS], KH, QD, 2D]  | Player 2 |
| 384  |   [QC, JD, 9H, 6S, 5D]   |   [TS, 9S, 8H, 3S, 2C]   | Player 1 |
| 385  |   [AD, JC, 7H, 4C, 2S]   |   [6D, 5C, 4H, 3D, 2D]   | Player 2 |
| 386  |   [JS, 8C, 7S, 4H, 2C]   |   [AD, QD, TD, 9C, 3S]   | Player 2 |
| 387  |   [JD, TS, 9H, 6H, 4C]   |   [AS, QD, 7D, 6D, 3C]   | Player 2 |
| 388  |   [AS, 7C, 6S, 5D, 4C]   |  [[5S, 5C], QC, JS, 4S]  | Player 2 |
| 389  |   [KD, 9S, 7C, 6S, 3C]   |  [[JH, JS], QD, 7D, 5S]  | Player 2 |
| 390  |   [JH, 8S, 7S, 4S, 2C]   |   [AD, QH, 7H, 5D, 3D]   | Player 2 |
| 391  |   [TD, 8D, 6H, 4H, 2H]   |   [AD, KH, 7C, 5D, 2D]   | Player 2 |
| 392  |   [QD, TS, 5H, 3S, 2C]   |   [AH, KH, TD, 5C, 2S]   | Player 2 |
| 393  |   [AS, KC, 8C, 5D, 4D]   |  [[2H, 2S], 9H, 7C, 6C]  | Player 2 |
| 394  |  [[QC, QS], KD, JS, TS]  |   [AD, KH, JH, 5D, 2C]   | Player 1 |
| 395  |   [KC, 9H, 6C, 5H, 3S]   |  [[7D, 7S], AD, 3H, 2H]  | Player 2 |
| 396  |  [[JS, JH], KD, 8S, 7S]  | [[7D, 7C], [2S, 2H], 9H] | Player 2 |
| 397  |   [QC, 9H, 8D, 6S, 2D]   |  [[AD, AS], 8H, 6C, 5H]  | Player 2 |
| 398  | [[7H, 7D], [6C, 6D], 2S] |   [JC, 9D, 8C, 5D, 3C]   | Player 1 |
| 399  |  [[7C, 7H], JD, 9C, 2H]  |  [[KD, KH], AD, 4S, 3S]  | Player 2 |
| 400  |   [AS, QH, JD, 9H, 4D]   |  [[KS, KD, KH], TS, 5H]  | Player 2 |
| 401  |  [[3S, 3D], 8H, 5S, 4C]  |  [[7D, 7S], AD, KC, TD]  | Player 2 |
| 402  | [[JS, JC], [8S, 8H], 5S] |   [KC, TH, 9C, 5D, 4D]   | Player 1 |
| 403  |   [QD, 9C, 7C, 5S, 2C]   |   [KH, QH, JS, 8D, 5H]   | Player 2 |
| 404  |   [AD, KS, TD, 3D, 2S]   |   [KC, TC, 7S, 5D, 3C]   | Player 1 |
| 405  |   [AD, QS, 6C, 4C, 2S]   |  [[QD, QH], TH, 9S, 5C]  | Player 2 |
| 406  |  [[2D, 2S], AD, QS, 8C]  | [[KC, KS], [JD, JC], 6C] | Player 2 |
| 407  |   [JS, 8D, 5D, 4D, 2H]   | [[QD, QH], [7S, 7D], TS] | Player 2 |
| 408  |  [[8C, 8S], 7H, 6S, 3S]  |  [[9D, 9S], QS, 8H, 6C]  | Player 2 |
| 409  |   [QD, TC, 5C, 4S, 2S]   |  [[6D, 6S], QS, TH, 4D]  | Player 2 |
| 410  |   [9D, 8D, 6H, 5C, 3S]   | [[TC, TD], [7D, 7C], 4C] | Player 2 |
| 411  |  [[AH, AS], 7H, 6S, 5S]  |   [AC, KD, 5H, 4C, 3H]   | Player 1 |
| 412  |  [[8D, 8S], AH, KS, QS]  |   [AD, 7D, 6H, 5D, 2C]   | Player 1 |
| 413  |  [[9H, 9S], QS, 6H, 2H]  |   [KD, 9C, 8S, 5D, 2D]   | Player 1 |
| 414  |   [QC, JH, TS, 7D, 5S]   |  [[9S, 9H], AC, TH, 7S]  | Player 2 |
| 415  |   [KC, 7H, 6S, 4D, 3H]   |   [QD, TS, 6D, 5C, 4S]   | Player 1 |
| 416  |   [QD, TD, 7C, 3H, 2S]   |  [[7S, 7H], JH, 9D, 4H]  | Player 2 |
| 417  |   [KS, TC, 5H, 4H, 3D]   |  [[2S, 2D], AS, 7D, 6D]  | Player 2 |
| 418  |  [[3C, 3H], TD, 8H, 7H]  |  [[KC, KH], AD, TH, 9C]  | Player 2 |
| 419  |  [[9S, 9D], TC, 4C, 2C]  |   [JD, 9C, 5C, 3C, 2H]   | Player 1 |
| 420  |  [[AC, AD], TS, 5D, 3H]  | [[8D, 8C], [6H, 6S], QC] | Player 2 |
| 421  |   [JD, TS, 7H, 3S, 2S]   |  [[8S, 8D], QH, 5S, 4C]  | Player 2 |
| 422  |   [AC, KH, 6C, 4S, 3C]   |  [[2D, 2H], 8S, 7C, 3D]  | Player 2 |
| 423  |   [TH, 8S, 6C, 4H, 2H]   |   [9S, 8H, 7S, 4S, 3H]   | Player 1 |
| 424  |   [9C, 7C, 5C, 4C, 2C]   |   [AS, KD, QH, 5D, 4D]   | Player 1 |
| 425  |   [AS, TS, 9H, 7D, 4H]   |  [[8D, 8C], 9S, 5D, 2H]  | Player 2 |
| 426  |  [[AC, AD], KD, QC, 2H]  |   [AS, 9S, 7S, 3S, 2D]   | Player 1 |
| 427  |   [QC, TC, 8H, 6D, 2H]   |  [[QD, QS], KH, 5D, 3C]  | Player 2 |
| 428  |   [QS, JD, TH, 4C, 2S]   |  [[AD, AS], 7H, 5S, 3S]  | Player 2 |
| 429  |  [[3D, 3S], JS, 7H, 6C]  |  [[AS, AC], QS, 9S, 6D]  | Player 2 |
| 430  |  [[TS, TC], AS, 9C, 8C]  | [[8S, 8D], [6H, 6C], 9D] | Player 2 |
| 431  |   [KC, JD, 9C, 7C, 4D]   |   [AS, KS, 8C, 6D, 3S]   | Player 2 |
| 432  |  [[TC, TS], 8D, 6S, 3H]  |   [AS, KC, 9S, 7C, 3S]   | Player 1 |
| 433  | [[8C, 8S], [4H, 4S], QC] |  [[AH, AC], TC, 6C, 3S]  | Player 1 |
| 434  |   [AS, 7D, 5C, 4D, 2H]   |  [[TS, TC], AD, QC, 6S]  | Player 2 |
| 435  |  [[QD, QC], TH, 8S, 4S]  |   [AH, JH, TS, 4H, 3D]   | Player 1 |
| 436  |  [[2D, 2C], 9S, 5C, 3H]  |  [[QD, QH], 9D, 7D, 3C]  | Player 2 |
| 437  |  [[KC, KD], 9H, 7S, 6C]  |   [AS, TC, 4D, 3C, 2D]   | Player 1 |
| 438  |   [KS, JS, 9D, 4D, 3D]   |  [[3H, 3C], QC, TH, 7D]  | Player 2 |
| 439  |   [9D, 8D, 5S, 3H, 2H]   |  [[4C, 4H], TH, 8C, 3C]  | Player 2 |
| 440  |  [[JC, JD], TH, 6S, 4S]  |  [[4D, 4C], 6C, 3D, 2D]  | Player 1 |
| 441  |   [AC, TS, 4H, 3S, 2D]   | [[6S, 6H], [2C, 2H], JH] | Player 2 |
| 442  | [[AD, AH], [TD, TC], 8S] |   [AC, JH, 9S, 7S, 6S]   | Player 1 |
| 443  |   [KC, JD, 8D, 6C, 4S]   |   [AH, QH, 9H, 7H, 5S]   | Player 2 |
| 444  |   [KD, JH, TS, 8D, 5C]   |  [[AD, AS], JS, 5H, 3H]  | Player 2 |
| 445  |   [8C, 6C, 4H, 3D, 2D]   |  [[5D, 5C], AD, 8S, 7S]  | Player 2 |
| 446  |   [TD, 9C, 7S, 5D, 4S]   |  [[8C, 8S], 6C, 5H, 4C]  | Player 2 |
| 447  |   [AS, QH, JS, 9C, 5C]   |  [[QS, QC], JC, 7C, 3D]  | Player 2 |
| 448  |  [[JC, JH], KH, QS, 9C]  |   [AD, QC, TS, 3D, 2C]   | Player 1 |
| 449  |  [[5D, 5C], AC, JH, 9S]  |   [KS, JD, TS, 8C, 4C]   | Player 1 |
| 450  |  [[KC, KH], AS, 9H, 2D]  |   [6H, 5S, 4D, 3D, 2C]   | Player 2 |
| 451  |   [AH, JC, TH, 8S, 2D]   |  [[3D, 3S], QH, 8C, 7S]  | Player 2 |
| 452  |   [AS, QD, JC, 8H, 4H]   |  [[KH, KS], 9S, 6D, 3C]  | Player 2 |
| 453  |  [[9S, 9C], QH, 7D, 4S]  |  [[KH, KD], AC, 7H, 4D]  | Player 2 |
| 454  |  [[AH, AD], TH, 9C, 6D]  |  [[KD, KS], QH, 9S, 4H]  | Player 1 |
| 455  |  [[QD, QS], 9C, 7C, 6H]  |  [[6D, 6S], JH, 9D, 5S]  | Player 1 |
| 456  |   [AH, QD, 8D, 5H, 2H]   |  [[KS, KH], JC, 5S, 4H]  | Player 2 |
| 457  |   [JS, 9C, 8D, 5C, 2S]   |  [[AS, AH], KC, 8C, 3D]  | Player 2 |
| 458  |   [QS, JD, 9S, 8H, 2H]   |  [[5S, 5C], TH, 8C, 4C]  | Player 2 |
| 459  | [[QC, QS], [2S, 2C], 8C] |  [[KS, KH], 9C, 4C, 3S]  | Player 1 |
| 460  |  [[AH, AD], 8S, 5D, 2D]  |   [KS, JS, TD, 8C, 2C]   | Player 1 |
| 461  |  [[5S, 5H], QC, TC, 8H]  |  [[9H, 9S], JD, 6H, 4H]  | Player 2 |
| 462  |   [AH, JH, 9H, 4H, 3C]   |  [[4S, 4C], AC, 8D, 2H]  | Player 2 |
| 463  |   [TH, 8S, 7D, 6D, 4D]   | [[QD, QS], [7S, 7C], TC] | Player 2 |
| 464  |   [KH, JD, 6D, 5H, 2D]   | [[JS, JH], [4H, 4S], QD] | Player 2 |
| 465  |   [JH, 9C, 7S, 4S, 3S]   |  [[TS, TC], QC, 8C, 4H]  | Player 2 |
| 466  |  [[QH, QS], JH, 9D, 4D]  |  [[2C, 2D], 7C, 6C, 3S]  | Player 1 |
| 467  |  [[5C, 5H], JD, 9S, 4H]  |   [AH, TS, 9D, 4C, 2D]   | Player 1 |
| 468  |   [KS, JH, TS, 5D, 2D]   |  [[AH, AS], JS, 8D, 7H]  | Player 2 |
| 469  |  [[AH, AD], KS, JS, 8C]  |   [TH, 8H, 6C, 5S, 2C]   | Player 1 |
| 470  |  [[AD, AC], KS, 5D, 2H]  |   [QC, TS, 8H, 6H, 3D]   | Player 1 |
| 471  |   [TS, 9C, 6D, 5H, 4H]   |  [[JS, JH, JD], 6S, 4C]  | Player 2 |
| 472  |   [QH, JH, 6D, 4H, 2C]   |   [KC, QS, 5D, 4C, 3C]   | Player 2 |
| 473  |  [[6H, 6C, 6S], 7H, 4H]  |  [[8S, 8C], KH, QC, 2S]  | Player 1 |
| 474  |  [[3H, 3D], KS, 5D, 4H]  |  [[TD, TS], AD, 4D, 3S]  | Player 2 |
| 475  |  [[7C, 7D], 8S, 5S, 2C]  |   [KS, JS, 8C, 7S, 6C]   | Player 1 |
| 476  |  [[5D, 5C], 7C, 3S, 2H]  |  [[9C, 9H], QD, 6D, 5H]  | Player 2 |
| 477  |   [KD, JS, 9S, 8D, 2S]   |  [[TD, TS], AC, 9D, 8C]  | Player 2 |
| 478  |   [AC, QD, 8C, 5H, 2S]   |   [KS, 9H, 7C, 4S, 3C]   | Player 1 |
| 479  |   [AS, KH, 9C, 8S, 3H]   |  [[4S, 4D], AD, QS, JS]  | Player 2 |
| 480  |  [[AS, AD], TD, 4D, 2S]  |   [QS, JC, 9H, 5H, 4C]   | Player 1 |
| 481  |   [TC, 7C, 5D, 4H, 2D]   |   [KC, JS, 6C, 4S, 3S]   | Player 2 |
| 482  |   [AC, 9H, 5D, 4C, 2C]   |  [[QS, QH], JD, 8S, 3D]  | Player 2 |
| 483  |   [QH, 8S, 6H, 3C, 2C]   |  [[AC, AH], KD, TC, 6D]  | Player 2 |
| 484  |  [[QC, QS], 6C, 4S, 3S]  |  [[AC, AD], KH, 8D, 5C]  | Player 2 |
| 485  |  [[AC, AS], KH, 5S, 4C]  |   [QC, 9C, 8D, 5C, 2C]   | Player 1 |
| 486  |  [[8H, 8D], KH, JD, 3C]  | [[QD, QH], [9C, 9D], 5C] | Player 2 |
| 487  |   [TS, 8C, 7H, 4S, 2C]   |   [QH, JC, TD, 9C, 5H]   | Player 2 |
| 488  |   [JS, TH, 7C, 4S, 2C]   |   [AS, KS, JD, 7S, 6C]   | Player 2 |
| 489  |  [[7C, 7H], JH, TC, 9H]  |  [[5H, 5D], 6D, 4D, 3D]  | Player 1 |
| 490  |  [[2C, 2H], QD, JH, 9D]  |   [AD, KS, TD, 5S, 3D]   | Player 1 |
| 491  |   [QH, JD, TH, 4D, 3S]   |   [KS, QS, 7D, 6S, 4H]   | Player 2 |
| 492  |  [[8D, 8H], KS, TC, 5S]  |  [[2S, 2D], AD, JH, 4C]  | Player 1 |
| 493  |   [JH, TC, 5S, 3S, 2D]   |  [[9D, 9S], KD, QS, 4C]  | Player 2 |
